Wobba! Wobba!
All right!
Blackdome!
I tell myself you're with Mimi!
Look at what she's losing!
She divorced her top gun!
Now Tom can go at cruising!
Oh, Tommy!
Tommy!
Mimi!
Mimi!
What's he got that I don't?
Blackdome!
What's his great appeal?
Blackdome!
He's got options, Alan!
What's a great appeal?
It's a great appeal!
Blackdome!
Tommy!
Tommy!
Tommy!
Sweet!
Mimi!
Tommy!
Look at me!
Mimi!
Sweet!
Mimi!
Tommy!
Tommy!
You're ferries!
It's a 10-01! When is the next day?
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
I've been using it for a long time.
George W37.
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
What does that mean?
Why should piperными learn it?
I am top I would like a cracker. You're not gonna get a cracker. I would like a cracker
in a bottle of Jenny cream. You'll get a cracker and a bottle of Jenny cream if you start talking.
I'm not gonna talk because I'm a tough guy. All right.
Cadet!
Oh no!
No!
No! No!
No! No!
Oh no!
Oh no!
All right, Molly.
All right, it's all right.
Bring me down but I'm not going to talk.
Oh really?
No, I've changed my mind again. I've been quiet as a clam.
He's not gonna talk. I'm not gonna talk. Wait a minute. What do you reach it for?
Here we go. No, no, no, no.
It's not dirty. It's it's no no.
No, no, no, no!
Oh no, no, no!
Oh no, no, no, no, no!
Oh no!
You guys will America you get dirty.
Brought to you by the US Armed Forces.
All right.
On the past 10 at 560, over to QM, here's the facts that says,
hey Neil, I live in Naples and they syndicate the Phil Henry show on the Beasley station here.
Are you sure?
And I've tried to listen on occasion never feels to be well lame.
And I can't figure out what the attraction is or who would syndicate him.
I tried again last night while driving and he was doing his lame Tom Cruisebitt
and doing the bad impressions himself amateur at best and I said,
how is he syndicated not you?
Time for a new agent, Neil or Laura.
I don't care.
I'm not getting a new agent because of what I got.
He's just tragic.
And you know, I don't care anymore.
I got this nice gig here.
What's the problem?
Right.
If you don't like Joe Henry, don't listen to him.
I sure don't and wouldn't.
He was funny for about, I don't know, six months, long time ago.
Here's the uphold today.
I like this pool.
And we haven't done exactly this one.
Now somebody will call and say, well, you didn't want to worry a similar
about three and a half years ago.
We didn't know it was too bad.
We were talking before the show today about the winers and complainers.
Just like the Beacon Curtain, I gave you like two weeks advance notice on that.
I told you that as of June 23rd, no more beaten Curtain, no more nudied pictures, not
because we're too lazy to do it or we don't want to do it, but because we can't do it.
I don't think any of us really feels that it's worth going to jail or something like that
or getting into a big jackpot so that we can put some naked pictures on our stupid ass
website.
Okay.
It's just a worth a grief.
If you want to find naked pictures on the internet, you can't find it, but you need
some serious help.
But we got that element of the audience out there and we got the whole South Florida
syndrome.
And of course, after having been there for three and a half days last week, I can easily
understand why a lot of people are sour and bitter and make a lot of sounds.
If I had to say there, I'd be going like that all the time too.
What a place.
There's one word to describe South Florida.
You know what it is?
Well, I got a few swamp.
Okay.
It's a big swamp.
For a minute, I got it.
It started pouring and thundering and lightning and dark.
At three in the afternoon, it looked like about three in the morning.
It was a pitch black.
It was just nasty.
And it was that way for like most of the time I was there.
So you enjoy yourself.
Well, if the sun was shining here, by the way, as Christina would say, it's beautiful.
That would work on me.
I guarantee you.
Here's the poll today.
What singer or I can't believe the Josh Corte is doing like cold stone cream.
I just cannot.
I just they I just had a bad experience.
That's all right.
Well, go back and give it another shot.
Okay.
You're going to forget the calories.
You don't have to worry about that now.
But I would go back and give it a try.
Because the other people are men who want to turn you into one of them.
No, no, but why are you still can enjoy?
And I'm not saying go there and keep picking on every day, but you will be come addicted.
That's true.
Like I said, don't go there.
Diabetes.
They smush it all up right and funny.
I can't wait to show.
I will go over there next time to see it for myself.
Man, it is just.
Oh, just so rich.
What singer or group is the most overrated of all time?
We asked here's what we got so far 286 286 votes.
Madonna is leading 50 M and M 40.
Wait, it's just flip flops.
You see that?
Right in mid sentence of flip flop.
We got a flat footed tie M and M 52.
Madonna 42 52.
Barbara Streisand 44.
Elvis 40.
Have you ever crossed eyes with Barbara?
No.
She can do it by herself.
Elvis 40.
Frank Sinatra 36.
Doobie Doobie Doobie Doobie Doobie.
George Lysette Park, The Doobie Doobie Park.
Bob Dylan 24 talking about whiners.
Stone's 15.
18 and 13.
Hey.
They're out of gas.
Beatles 12 and Phil Collins has only seven.
I didn't even know we put him on there yet.
I was a little bit of a hit.
I came up with that.
And let's hear it for Judge Mo.
Oh.
Oh, oh, oh, oh, oh.
You're mo.
Judge Mo.
You go, Mo.
Says, hey, you know, it's a July 1st.
And I think we've, the people voted on you idiots.
Here's a judge with a pair of balls.
Lys go on.
And July 1st, by the way, happens to be on Friday last time
I checked.
Friday.
That's what the thing said.
People voted.
They said and proud.
We want to slots.
We know exactly the ones we're voting on.
The Vegas style slots.
Not these phony, baloney slots.
We want the real ones.
We say yes by a pretty big margin.
And the governor and legislature think they can keep
like sandbagging a public every time they have a vote.
And a judge says, I don't think so.
So you just go ahead and do it.
And I'll, if the government doesn't want to do it,
I'll make up the rules.
I'll make the regulations nice.
Go on, Mo.
Do do do do do.
Do I tell you I always love Mo all the time?
Mo, Mo to man.
Now again, most overrated of all time,
we can have like 10,000 on here.
Oh, before we do that.
So I found this disc.
I was actually looking for something else
that I found several this with jingles.
That I mean, if you're like in the 60s or 70s,
you lived anywhere like in the Midwest.
Not just in Detroit, but in the Midwest,
you could hear CKLW with a big 50,000-what signal.
And they've got 80 million jingles on here
that Bokobryne sent me.
We're longer.
And the one that really just knocks me out
is the new sound.
Yeah.
Punchy.
Oh, that sounds important.
Yeah.
How do you like that?
So I got all the interspersed audio's at jingles.
From music CKLW.
我 cornered.
I go cornered.
Duffing, uh, the ever谢谢.
I believe I've been the sincerelyowe
and until I fall in.
CKLW
I'm not sure if I can play a good song after it next time.
Oh, come on.
It's great in a very amusing way in a humorous way.
Not as good as that.
I'm thinking again what that is, right?
I don't tell me we added another break already.
I don't want to get behind now because I'm out of practice a little bit this future.
And then we got another damn one of these shows on Thursday.
Jesus.
And there's a little bit too much here.
Kind of like the ease back into it, like maybe one a week.
26 past 10 and 5 60 WQM.
Don't forget we got the mole-mice.
That's the top of the stuff.
The man is going to rip George and ask these.
Got some of my guests on.
I think he's got Casey Stingel's great grandmother is going to be on.
From the other side, he sure can get those guests, can he?
Get pushed.
Put the move.
People in Middle East must be assured that we will invest a good fall.
Now it seems to me that they know just what to say.
That we will find out the truth.
Talking points not words.
Can you make this garbage hell?
Now I swear to you if they didn't always stop this way.
Rebeating what's not real till we buy it baby.
They will know the truth just like the American citizens.
I don't want to be lied to no more.
I just want to be a patriot.
I don't want to fight another fine-win war.
I'll make my grandkids pay for it.
I don't want to be angry no more.
You know that we should never stand for the election.
When they tell us that it's true, don't be so sure.
I don't want to be lied to anymore.
In my state of the Union, our state, my speech of the nation.
I'm dying over here.
1032, Bozo will be on again tonight to tell us things are going just right.
Oh, we're fine.
We're really out of like, butch up a little bit in the hop-on board.
And we say no thanks.
It's exploding flowers in candy that they're throwing at us.
56670560, 0.560 in the Verizon Singular Revis line.
What's a singer or group most overweighted about time?
Now the question isn't just name a group or a singer that sucks.
Yes it is.
Well I see. Just name somebody.
One person.
How many groups in Singular?
How about Huey the Anno Smith?
See, there's a good example.
But nobody ever rated him as a singer, a good or bad, just a funny guy.
So in other words, somebody that really is already rated very, very great.
And you think really not so great.
56670, I give that number out.
I don't think we can look at a lot of calls.
How are your calls been this so nice week?
Ah, you know.
Oh, I do.
Come on.
I see.
WKYM, hello.
First one right out of the box.
Here it is.
He's waiting for the drone there.
Oh, something happened here.
Oh, please don't tell us that this is the thing.
What do you mean by that?
There's a procedure there.
I guess we must have had a power out or something.
Oh, so in other words, you've got to do rituals involved.
What is that doing there?
Test it now.
Try it now.
Try it now?
No, it's just making a funny symbol.
I never saw that symbol before.
What is that?
What is that?
It's something.
We must have had a power outage.
Get the seed.
Don't make it in the pool.
And the funky symbol.
And when I punch it up, is it doing it on your end too?
Yeah.
It's not going to go.
I can't punch them up either one.
It's doing this.
We have to do this.
Try it.
Punch it up.
Number six there.
See what I'm on your end.
You punch it up.
See there you go.
QA and hello.
Hey Steve from Fusion here.
Yes Steve.
I'll get out of here.
Steve you're an idiot.
No, no, come on.
Listen up.
Go away.
See this isn't controlling these.
These aren't working now.
No, we got to do something.
What does that mean?
Because the lines are going to be like this.
We said our photo over here and hope that it takes.
See every time I punch it up, it comes up with a mushroom thing.
Right.
It looks like a little mushroom.
We got to reset it.
You sure that?
How do you know that?
Because it's happened before.
It has?
Yeah.
I've never seen this before.
And interestingly enough, remember I had the problem last day
a week ago Friday and I couldn't punch up any calls.
And come to find out again it was on your end on there.
I don't want to say.
Yeah.
During the break when we reset our unit, you should reset your computer
so that they talk to each other properly.
I see.
Well why don't you punch up one or two?
QA and hello.
Hey, what's up?
I'm good now.
Yes sir.
How are you doing?
Greetings from all of Hasse.
Tallahassee.
Yeah I'm listening to you guys online.
All right.
What's up?
Hey, I got one for your poll.
Bond Jolve.
Bond Jolve.
Okay.
A lot of people hate him.
It like poison.
You're right.
And Jorge, I got a movie to recommend.
It's called, maybe you've seen it's called The Battle of Outyears.
No, it was the old movie of the movie of 1967.
But it's very profetical.
It's going on right now with the war.
It's kind of interesting.
Just guys check it out.
All right.
It didn't.
All right.
I get you guys.
Thanks, Pally.
See, and you're going to have to like drop muck as I can do it.
I'm misunderstanding.
Now you're sure that it's not a, I don't know.
It's happened before, so hopefully it'll...
You're positive about that.
Of course.
I don't remember seeing that shroom on there.
Looks like something from Amsterdam.
That's the phone thing.
Happens all the time.
Well punch up another one.
Just for practice.
QA.
I want for the poll.
Yes sir.
Josh Beckett.
Excellent.
Excellent.
Well he wanted to keep it in that sports stuff thing, you know.
QA.M.
Hello.
Punch somebody up please.
Punch him in a mouth.
QA.M.
Hi.
Tom Teddy sucks.
Okay, thanks.
You're welcome.
Hey Tom.
You fairly like that.
I didn't know that.
What?
Okay.
Punch your out.
Please.
I keep hitting this thing out.
I don't realize it's not doing anything.
Do you think if I rebooted it now that we're working, you've got to do it on your own.
I think we have to do both.
I see.
Very disconcerting.
Anyway, here's some, it was almost good news, but then again, wow.
But a beep bit of a beep bit of a bump.
In separate opinions yesterday, the Supreme Court signal that the permissibility of government's
response to displays of the Ten Commandments depends on the circumstances.
If the exhibit appears to have been erected with religious purpose, if it's a religious erection,
it violates the Bill of Rights establishment clause prohibition on government's
sponsorship of a religion to five justices to send the case from Kentucky.
But in another case, another majority of justices is allowed to display in text the same that a religious display that is also historical
and its impact is permissible whatever the purpose of those who erected it.
And of course, if it has to do with religion, how can it really be historical?
Right.
Obviously it's quite hysterical.
Yeah.
With these and further opinions, the Court concluded its current term.
Chief Justice Rankway's to be treated for thyroid cancer and looks to appears to be only moments from death did not
announce his resignation to someone speculating he might.
So there he is.
They said, oh, you can't put those up unless we say it is.
Always these exceptions.
I feel like we ought to take the break.
Good thing I'm wrong.
No, you're correct.
Because this poll today requires a lot of building, man.
And of course, you know there's poll building.
No, you're right.
Terminal in Pondorus.
I almost want to play some jingles.
CKW.
The Motor Seed.
How come that keeps coming up every time I hear that?
You're getting the keys up and off.
Because I got other great songs on this list too.
Another one of those.
Obviously.
Just for words.
No, I swear.
Give that a cook.
Just one word.
That's all we ask.
Just for words.
And I don't know.
That's a great song.
I like the other one.
I'm going to say hi.
But, huh?
But she's going to say hi.
Is that a drug route?
Whatever happened to her?
I was just asking somebody this morning.
How's Doris drooling?
And they looked at me like he died during his career.
Did she die?
I don't know.
Let's find out.
I'll look out.
21 to 11 at 560 WQM.
We have a little technical to figure.
They're picking up right where we left off.
Which is good.
The audience is used to that.
We've got them potty trained on that.
They say, oh, they're all screwed up again over there.
Yeah, we are.
Me, you.
Yeah.
Batman.
It was a comic strip.
Then a comic book.
Then a movie.
Then another movie.
And another.
And another.
And so.
Batman is coming the Broadway.
You've got to wear tight.
And a mask and keep it nice.
Now, you can see the masked crusader as never before.
An effeminate man who prances around the stage in full costume.
Singing.
Here's what they're saying about Batman of musical.
And I think that it made me want to fly down the backboard.
Batman of musical.
It's the musical for people who love comics.
Tomorrow will fight crime.
Tomorrow.
Tomorrow will fight crime.
Tomorrow will fight crime.
1043.
Okay, let's see if this is working out.
Can you reboot?
Sure, no.
Can I reboot it?
Oh, no.
And now it's doing something even different.
Funky or more bizarre than was before.
Yeah.
I hate Josh having to do a thing again.
Turn it up.
Wait, don't do it yet, Josh.
All right.
What do we have to do with thing?
He has to do a thing.
And what is that?
I didn't even punch that one up.
Look at line nine now.
Uh-huh.
Josh has punched it up.
Yeah.
Not right.
It's definitely screwed up.
That's uh-uh.
I think it will happen.
Should I go tell the engineer?
Yes, you're good.
Are you kidding me?
Look at that.
I was.
He's hooked out that mushroom, man.
Anyway, here's this fact.
It said, well, here's Alex says, cold stone creamery is the best.
You're absolutely correct, Alex.
It's the best in the world.
Now, even the gelato in Italy and Germany, all this other stuff that I love.
Even the, uh, all these flavors I raved about, not even close.
He says, every time I go there, I go what is called birthday cake remix.
It's vanilla frosting or cake flavor ice cream with sprinkles and chunks of brown sugar.
I don't know that Alex was a brownie on it.
It is so freaking good.
He says, you are.
Absolutely correct.
It is the best bite I've ever seen.
Now, let's see what happens when you punch up a line.
Let's just see if this is a-
Oh, there's a line here.
A few A.M. Hello.
Hello, Neil.
Yes, sir.
I'm calling from New York.
Can you tell you about Larry King?
You met him.
What was he like?
What is happening?
I met him in what was he like?
I mean, do you ever meet his daughter, Kaya King?
No.
Can I do my Larry King impersonations?
I'm a cigar on a tatus.
Don't be trusted.
Very good one.
I like that.
Don't be trusted.
I grew up a poor Jewish kid from Brooklyn.
I went to high school with Cindy Kofax.
I was a cigar on a tatus.
Yeah.
Why don't we care about this?
It was a very ziggler.
I mean, Larry King.
Larry Ziggler.
His son worked in WS News when I was there.
You know, he told me he once met you.
You want to show with Sergeant Matt Lemitch.
Yeah.
And he'd Larry King.
How was that in the show a couple of times?
Yeah, well, like I talked to Larry about 200 times.
And he told me.
That is great radio.
Yeah.
He told me that you came out of the closet one night on his show.
No.
I had already come out on my show on KIT.
Well, whatever, but it was afterward that he had me on the show.
Well, he, that's what he told me.
And he looked at me and he said,
You're fairy.
The pretzel was a little insensitive on his part.
Well, listen, it's been ice-talking to you, but you lost.
Anyway, let's quit.
Yeah, there is this guy.
I don't want to hear his life story.
He went to high school with Sandy.
Co-fax.
He went, what do I think, Larry King?
Jesus.
Like I said, maybe the fact that the phone is screwed up.
Now, what, what do you, you tell me that you've seen this before?
I never saw you.
Yeah, yeah.
You might have to do something over there on your end now.
Can you actually reach your own big black box?
My own big black box?
What's that?
What do you, what do you talk about?
The actual phone unit, not your little remote operating thing,
but the big black phone unit itself.
I don't have one of those here.
That doesn't exist here.
No, I do not.
Okay.
I don't think I do.
Well, let me see.
If you want me to start crawling around the floor, I can do it.
Yeah, that'll be fun.
Okay.
Well, what about here?
In the meantime.
Hey, get up off the floor.
We got something else you can do.
Okay.
I don't have the big black box.
My little phone finger is plugged around the computer.
This bypasses the black box.
There's no such thing here.
All right.
Well, then here's what you need to do.
Yes.
You get the mouse that controls your phone screening.
Right.
All right.
And you go up to configuration.
You click on the configuration tab.
Yeah.
It says desktop director.
Right.
Click on whatever it should say.
DVD1 is checked.
DVD1 is checked.
We're looking.
I want to go to DVD2.
Well, put the mouse over mode.
Okay.
Which one is checked.
Neither one, because it's one of those you can't check.
Right, but there should be a, they're dimmed, but one of them should indicate checked.
Producer is checked.
Producer is checked.
Right.
He's telling.
Well, how am I going to change that?
Because it's, you can't click either one of them there.
Right.
Configuration, DVD, whatever is, whatever is checked, DVD1 or DVD2, check the other.
Okay.
All right.
All right.
Not yet.
Still comes up to set.
Well, but now tell of these checks.
Okay.
Now try it.
So now let's see it.
And I'm punching it up.
And nothing's happening.
We might have to reset another you've done that.
And all right.
Who you means us.
Well, let me do it too.
Just, just as I want to feel left out.
Okay.
Boy, is this place screwed up or what?
Huh?
God, this is just pathetic.
Anyway, this facts here.
Why you're busy dealing around with that.
And where he's, he's eating buttered popcorn.
Okay.
I'll be on the other of doing what?
I'll reboot it.
It says the moment got a hell of an ass kicking.
And why did they leave you off the SunCendles Internet's Ford's page pool?
Probably because I don't do a sports show.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
I don't know what that is.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
Oh my God.
In fact, I read the plays back, all the way to 때.
The song beside singing.
Oh my.
Anyway.
I went to school with Sandy Kofaş and the new little Larry King.
What kind of a brother?
What a y carpenter.
What a yenter.
Get a life.
Get a life!
I think they have all kinds up there wouldn't surprise me yeah they do so I
Don't this is this gonna happen like spontaneously or like if you got your dots back or what I don't want to get to
Agravated about this pretty and got our dots back and you should too. I do too. I got my dots. No, let's just see. Oh
Hello
Yes, sir
It's your responsible. Thank you so much. Hey there you go
Every dog has a day. Hey, just mention the good one for your polls on a scrap like the Eagle Thor. Yeah, he could really sing, didn't he?
Listen two weeks ago I dropped off bumper stickers to a big guy with spike hair and a beard. Oh my car. Oh, I'm freaking Carlos
Freaking hey when you see Carlos just to give us a message for me. You're fairing
I dropped off some bumper stickers that I say when Clinton lied nobody died did they get there? Did you get injured?
No, what do you mean you don't know I never got any we didn't get a
Probably Carlos slept him on somebody like that going to pride parade
Don't bring any more back. Thank you. You don't bring it over back you soon
I don't know why you're so sorry. I think it's a great bumper sticker. What's wrong with that George? You don't use them in either do I?
What does that mean you don't use bumper stickers? Well, how many did you bring?
About eight or ten. Oh, I see I saw maybe brought like a thousand or something. No, no, no
They're just all those stickers I brought out when Clinton lied nobody died. I like that
I like it a lot. I think I've been by 10 15,000. We distribute them all over town
Absolutely, then sometimes later this week I'll get them by by there again
Okay, and I can make sure it's on a day when I'm on the year not George because he's sour about this
Okay, tonight's the whole warmonger is on TV. It's gonna be like Kevin Bacon at the end of animal house
Okay, thanks a lot, pal. I the phone works
Now did we have engineering get their fingers involved in this award?
Sure, that was good that we had I liked the fact we did this on the air that our guarantee one place didn't ever did that
History of rock and gold. Oh, that's not it
That's what I meant they never did that and it probably just as well for at least we're in the same format now that that pull really
I shouldn't let it bother me, but it just goes to show you that you clowns over there at the Sun Centrel
Just like we did that pull. What was the pull always about what's it rich waltz and we never did get the one about
Roxy foxy never got that one so they put it on there that and isn't it interesting that the ticket is in bed with the the
Harold and Sun Centrel should be well aware of that and we actually occasionally say something nice about the Sun Centrel on this show
Not no mo not after they put a phony pull in there that get loaded up by those now how come I don't understand how come our people didn't like
Respond, you know nobody like roll over all that we do have speaking a carless and people do like to roll over
We didn't have anybody on the air over here telling anyone to why not apparently the message in the station was to ignore it
Why is that oh my god? We need a wartime console area clearance, you know, whatever we need to not nothing's
Wusses that we got in there man. We got two powder puffs running around in that place
This one's gonna roll over us like I like a Mac truck while we lay. Oh, okay
We will just ignore it. Well, you know, if you see it's a psychological thing that people look at that thing in a newspaper thing
Look at that everybody's to end the other station now these guys are history man. They're ancient. They're old
Which that part of it of course is true
This is the Neil Roger show
I
Don't any questions I guess the salary rather than just the ordinary clear of something for us. What do you think of Monica?
You know, she is a wonderful level headed young woman with experience
And I have a lot of respect for her judgment. Okay Atlanta. Hello. Oh, hi Hillary
My question for you is is it true? You used to wake up at 5 a.m. Every day and have sex with Bill
Just to make sure you were the first lady. Yes
Yeah, I did Tampa Florida. Hello, Hillary. I know you're over the age of 40
So I wanted to know do you get your prostate checked off and absolutely do I do a good man
So when is your next schedule of prostate exam next year say Joseph Missouri hello
Hillary I was wondering how many other women has your husband didn't listen to been married
I can't even begin to tell you about half the country
Well, how many interns are still now in today? You know, I think there are two and he's having a great time doing it
We'll take a break on the back with Hillary Clinton you're watching Larry King live don't go away
But third man, it's the level of two and five sixty we got the phone working that's here time for celebration
To show you how bogus this pool is there was another page that you just fixed me which sports radio talks your host
You prefer in the four to seven p.m. Slot Jim man is 44 and a half percent damn labaster to 55 and a half percent
I mean is there anybody in the right mind who blows that? Yes, serious
Dan labaster my ass. He's a talk show host like like you're a brain surgeon, okay? He's a talk show host like
Todd Reck is a sales guy
Anyway, get back to that. Oh, I got a good pull for what they in my own Thursday. I'm not gonna say now all right
I do I got a really good one anyway. Here's what we got so far today
What's singer or group is the most overrated of all time for 133 votes?
M&M 79
Madonna 67 Barbara Streisand 65
Elvis 62 Frank Sinatra 46 Bobby Dylan 37 Beatles 20 Rolling Stones 19
Steely Dan 17 how come the Rolling Stones are getting a lot of votes? What's wrong? What is that all about?
They think they're overrated well, they're not Phil Collins 16
Bon Jovi five and Tom Petty don't have any except that lady called and she was like wild
Pat Petti blouse
Or something like that she said here is the one from Michelle who says thought you might be interested in a pool channel
Ten is having about the 10 commandments issue the question is should monuments of the 10 commandments be allowed in government building
No, and on government property no and the obvious answer is oh, I thought you might be interested in the creeping the pool
Well, that's good if they're gonna creep the Sun central pool on us in the ticket. Let's creep the channel 10 pool
Let's just keepers creepers are starting a bunch of creepers. What do you say something to do during the summertime?
Right? No record keep us off the streets. What do you eat now? But it's like a howie's the BLT? You know it see
Celebratory story BLT so what are we celebrating the phone work? Oh, that's a
How do you like that nice going boys?
WQA
Oh, and thank God they are so much better about the phone working. Thank God that he's back
That's been all how many it's been years since we heard that was the real one to one of the store the real one nice going
Any we're glad to see you got help. He's proof that Tom cruises right about side country WQA and hello
Line nine last call Q a.m. Hello wait. Maybe your station is not really Charlie on
Let's see now here is a local 10 dot com slash news
